image	label	created_at	updated_at	lead_time	annotator	id	annotation_id
/data/local-files/?d=image/1/0-01aee8631d8314c946809b57ae931632cd844571.jpeg	[{"points": [[14.168039538714991, 65.389369592089], [86.49093904448105, 63.906056860321385], [85.33772652388798, 88.62793572311496], [15.815485996705107, 91.84177997527811]], "closed": true, "polygonlabels": ["Table"], "original_width": 768, "original_height": 1024}]	2023-03-23T04:13:20.407049Z	2023-03-23T04:13:20.407076Z	18.997	1	44667	3763
/data/local-files/?d=image/1/0-029dcaddd9d6ca146bea23baed3867f07a7807b2.jpeg	[{"points": [[18.12191103789127, 44.6229913473424], [76.11202635914333, 43.63411619283065], [76.77100494233937, 65.26576019777504], [18.616144975288304, 66.13102595797281]], "closed": true, "polygonlabels": ["Table"], "original_width": 768, "original_height": 1024}]	2023-03-23T04:13:32.152060Z	2023-03-23T04:13:32.152085Z	10.109	1	44668	3764
/data/local-files/?d=image/1/0-02fdae428f785e94e897b6d847ce3a0c3864342c.jpeg	[{"points": [[18.945634266886326, 35.22867737948083], [75.28830313014826, 35.35228677379481], [75.61779242174629, 91.47095179233622], [19.934102141680395, 92.45982694684795]], "closed": true, "polygonlabels": ["Table"], "original_width": 768, "original_height": 1024}]	2023-03-23T04:13:46.423634Z	2023-03-23T04:13:46.423664Z	12.753	1	44669	3765
/data/local-files/?d=image/1/0-03a5b11f97954fd3bde2f2f220a447573aeefd90.jpeg	[{"points": [[18.616144975288304, 67.36711990111249], [31.795716639209225, 66.50185414091472], [63.097199341021415, 67.24351050679851], [86.9851729818781, 68.4796044499382], [83.52553542009885, 89.9876390605686], [67.87479406919275, 88.38071693448703], [57.66062602965403, 87.51545117428924], [39.86820428336079, 87.88627935723115], [30.807248764415156, 88.99876390605687], [20.75782537067545, 90.60568603213844]], "closed": true, "polygonlabels": ["Table"], "original_width": 768, "original_height": 1024}]	2023-03-23T04:14:14.222392Z	2023-03-23T04:14:14.222416Z	26.371	1	44670	3766
/data/local-files/?d=image/1/0-050357b5b91aca3e946fe374b557d9e14bdc8258.jpeg	[{"points": [[6.369426751592357, 58.74363327674024], [14.394904458598726, 58.23429541595927], [30.191082802547772, 58.064516129032256], [42.547770700636946, 58.404074702886234], [43.69426751592356, 83.3616298811545], [34.64968152866242, 81.83361629881153], [30.828025477707005, 80.98471986417657], [18.598726114649686, 80.4753820033956], [11.97452229299363, 81.49405772495756], [8.9171974522293, 81.83361629881153]], "closed": true, "polygonlabels": ["Table"], "original_width": 1024, "original_height": 768}, {"points": [[51.210191082802545, 14.091680814940577], [97.32484076433121, 11.205432937181664], [92.73885350318471, 86.92699490662139], [78.34394904458598, 85.56876061120543], [58.853503184713375, 85.05942275042445], [52.738853503184714, 85.05942275042445]], "closed": true, "polygonlabels": ["Table"], "original_width": 1024, "original_height": 768}]	2023-03-23T04:14:34.183331Z	2023-03-23T04:14:49.547268Z	33.186	1	44671	3767
/data/local-files/?d=image/1/0-06565bcf2cd4d95b970d87db1355f65594049ce2.jpeg	[{"points": [[20.757825370675455, 46.47713226205192], [75.61779242174629, 46.47713226205192], [75.45304777594728, 66.87268232385661], [20.75782537067545, 66.74907292954265]], "closed": true, "polygonlabels": ["Table"], "original_width": 768, "original_height": 1024}]	2023-03-23T04:15:05.165365Z	2023-03-23T04:15:05.165393Z	13.75	1	44672	3768
/data/local-files/?d=image/1/0-08d8d1bb90148d2c74b6507a649f6b7295b0e8d3.jpeg	[{"points": [[8.237232289950576, 10.877626699629172], [21.746293245469523, 10.135970333745364], [61.779242174629324, 10.754017305315204], [70.34596375617792, 10.630407911001235], [89.12685337726523, 9.27070457354759], [91.76276771004942, 93.69592088998763], [63.26194398682043, 92.58343634116193], [41.35090609555189, 92.7070457354759], [28.665568369028005, 91.96538936959209], [23.393739703459637, 91.34734239802225], [11.532125205930807, 90.60568603213844], [9.884678747940692, 78.86279357231149]], "closed": true, "polygonlabels": ["Table"], "original_width": 768, "original_height": 1024}]	2023-03-23T04:17:32.423174Z	2023-03-23T04:17:32.423207Z	145.958	1	44673	3769
/data/local-files/?d=image/1/0-0b5cbe1a541ab52c80729a905e2cc4c98906ea7d.jpeg	[{"points": [[13.509060955518946, 55.12978986402967], [17.627677100494235, 83.31273176761434], [97.52883031301482, 82.44746600741657], [96.37561779242175, 51.79233621755253]], "closed": true, "polygonlabels": ["Table"], "original_width": 768, "original_height": 1024}]	2023-03-23T04:17:46.391355Z	2023-03-23T04:17:46.391378Z	11.214	1	44674	3770
/data/local-files/?d=image/1/0-0d24380de1514ad137e2b9e1b2d7b30dee89b0f2.jpeg	[{"points": [[10.214168039538714, 17.676143386897404], [83.0313014827018, 17.428924598269468], [85.33772652388798, 91.59456118665018], [12.355848434925864, 92.45982694684795]], "closed": true, "polygonlabels": ["Table"], "original_width": 768, "original_height": 1024}]	2023-03-23T04:17:58.328964Z	2023-03-23T04:17:58.328991Z	10.543	1	44675	3771
/data/local-files/?d=image/1/0-0dde427fa5bc1a0fdb887336263963badaa708a1.jpeg	[{"points": [[13.344316309719934, 17.058096415327565], [25.205930807248766, 17.552533992583438], [60.29654036243822, 17.79975278121137], [84.1845140032949, 17.428924598269468], [84.67874794069193, 90.48207663782448], [59.80230642504119, 89.2459826946848], [24.382207578253706, 89.12237330037082], [12.520593080724877, 89.36959208899876]], "closed": true, "polygonlabels": ["Table"], "original_width": 768, "original_height": 1024}]	2023-03-23T04:18:15.834724Z	2023-03-23T04:18:15.834747Z	16.206	1	44676	3772
